                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0003,                 5.8536,                 2.0173,                      0,                      0,                      0,                      0,                  3.339,                 7.9312,                 2.6803,                      0,                      0,                      0
                      2,                 2.9864,                 5.6936,                 2.1997,                      0,                      0,                      0,                      0,                 3.3775,                 7.5736,                 2.6866,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 3.6394,                 6.0289,                 2.4584,                      0,                      0,                      0,                      0,                 3.1993,                 7.6505,                 2.5702,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 3.2649,                 6.5817,                 2.3046,                      0,                      0,                      0,                      0,                 2.9324,                 8.1127,                 2.4147,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 3.3503,                  5.056,                 2.3857,                      0,                      0,                      0,                      0,                 2.7945,                 7.7485,                 2.2988,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 2.8903,                 6.1309,                 2.0708,                0.00072,                   0.25,                0.00065,                  6e-05,                 2.8939,                 6.6842,                 2.3549,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 2.7222,                 5.0849,                 2.1921,                0.00073,                   0.25,                0.00066,                 0.0002,                 2.6879,                 6.2295,                 2.2064,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 2.9269,                 4.9941,                 1.8179,                0.00074,                   0.25,                0.00067,                0.00033,                   2.39,                 6.0077,                 2.0379,              0.0001086,              0.0001086,              0.0001086
                      9,                 2.3308,                 5.1352,                 2.0116,                0.00074,                   0.25,                0.00067,                0.00033,                   2.39,                 6.0077,                 2.0379,              0.0001228,              0.0001228,              0.0001228
                     10,                 2.1215,                 5.0451,                 1.8321,                0.00073,                   0.25,                0.00067,                 0.0004,                 2.0253,                 5.5869,                 1.8197,             0.00013666,             0.00013666,             0.00013666
                     11,                 2.3694,                 4.6059,                 1.6439,                0.00073,                   0.25,                0.00067,                 0.0004,                 2.0253,                 5.5869,                 1.8197,              0.0001502,              0.0001502,              0.0001502
