                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5148,                 8.9738,                 1.6127,                      0,                      0,                      0,                      0,                 3.6768,                 11.054,                 3.3452,                      0,                      0,                      0
                      2,                 3.6849,                 10.916,                  2.757,                      0,                      0,                      0,                      0,                 3.6082,                 11.137,                 3.3142,             1.6587e-05,             1.6587e-05,             1.6587e-05
                      3,                 3.5235,                 15.694,                 2.4096,                      0,                      0,                      0,                      0,                 3.7222,                 10.895,                 3.4726,              3.301e-05,              3.301e-05,              3.301e-05
                      4,                 3.8859,                 10.138,                  2.776,                      0,                      0,                      0,                      0,                 3.5855,                 11.885,                  3.365,             4.9267e-05,             4.9267e-05,             4.9267e-05
                      5,                  3.561,                 5.9455,                 2.4185,                      0,                      0,                      0,                      0,                 3.5855,                 11.885,                  3.365,              6.536e-05,              6.536e-05,              6.536e-05
                      6,                 3.6087,                 9.6718,                 3.4141,                      0,                      0,                      0,                      0,                 3.6137,                 10.582,                 3.2959,             8.1287e-05,             8.1287e-05,             8.1287e-05
                      7,                 3.8008,                 7.2992,                 3.3148,                      0,                      0,                      0,                      0,                 3.6137,                 10.582,                 3.2959,             9.7049e-05,             9.7049e-05,             9.7049e-05
                      8,                 3.6571,                  6.503,                  3.291,                      0,                      0,                      0,                      0,                 3.1995,                 11.997,                 3.0207,             0.00011265,             0.00011265,             0.00011265
                      9,                 3.4753,                  11.41,                 3.0853,                      0,                      0,                      0,                      0,                 3.1995,                 11.997,                 3.0207,             0.00012808,             0.00012808,             0.00012808
                     10,                 1.2556,                 34.298,                 1.2979,                      0,                      0,                      0,                      0,                 2.8298,                 14.559,                 2.8427,             0.00014335,             0.00014335,             0.00014335
                     11,                 3.0779,                 8.3227,                 2.7286,                      0,                      0,                      0,                      0,                 2.8298,                 14.559,                 2.8427,             0.00015845,             0.00015845,             0.00015845
                     12,                 3.4407,                 10.034,                 2.8381,                      0,                      0,                      0,                      0,                 2.8298,                 14.559,                 2.8427,             0.00017339,             0.00017339,             0.00017339
                     13,                 3.3761,                 6.6292,                 2.1599,                      0,                      0,                      0,                      0,                 3.1512,                 13.006,                 2.9014,             0.00018816,             0.00018816,             0.00018816
